# Анализ закона Ципфа
# Всего токенов: 2148231
# Уникальных токенов: 176907
# Константа C (Ципф): 65514.81
# Параметры Мандельброта: a=0.9625, b=2.9797, C=165737.43

Ранг	Токен	Частота	Закон_Ципфа	Относит_ошибка,%
688	arsenal	335	95.23	71.57
689	başkanı	334	95.09	71.53
690	söyledi	334	94.95	71.57
691	1964	332	94.81	71.44
692	59	332	94.67	71.48
693	66	332	94.54	71.52
694	kylie	332	94.40	71.57
695	iddia	331	94.27	71.52
696	yardım	329	94.13	71.39
697	united	329	94.00	71.43
698	rothen	329	93.86	71.47
699	hareket	328	93.73	71.42
700	sezonunda	328	93.59	71.47
701	uygun	327	93.46	71.42
702	onu	327	93.33	71.46
703	yüzyılda	327	93.19	71.50
704	albüm	327	93.06	71.54
705	ye	326	92.93	71.49
706	yıllık	326	92.80	71.53
707	1989	326	92.67	71.57
708	2012.	326	92.54	71.62
709	83	325	92.40	71.57
710	75	325	92.27	71.61
711	62	324	92.14	71.56
712	review	324	92.02	71.60
713	1970	322	91.89	71.46
714	olsa	322	91.76	71.50
715	insan	321	91.63	71.46
716	böylece	321	91.50	71.49
717	içeren	321	91.37	71.53
718	dergisi	321	91.25	71.57
719	ekonomik	321	91.12	71.61
720	ağır	320	90.99	71.56
721	adıyla	319	90.87	71.52
722	fiziksel	319	90.74	71.55
723	ortak	318	90.62	71.50
724	alanı	318	90.49	71.54
725	oxford	317	90.37	71.49
726	burada	316	90.24	71.44
727	el	316	90.12	71.48
728	61	316	89.99	71.52
729	sarı	316	89.87	71.56
730	ötürü	313	89.75	71.33
731	sahiptir	313	89.62	71.37
732	y	312	89.50	71.31
733	bilimi	311	89.38	71.26
734	donanması	311	89.26	71.30
735	etmek	310	89.14	71.25
736	Örneğin	310	89.01	71.29
737	antlaşması	310	88.89	71.32
738	sonrası	309	88.77	71.27
739	transparent	309	88.65	71.31
740	william	309	88.53	71.35
741	69	308	88.41	71.29
742	çoğu	308	88.29	71.33
743	2018.	308	88.18	71.37
744	1980	308	88.06	71.41
745	otomobil	308	87.94	71.45
746	kb	307	87.82	71.39
747	ledger	307	87.70	71.43
748	görev	306	87.59	71.38
749	85	306	87.47	71.42
750	dil	305	87.35	71.36
751	orhan	305	87.24	71.40
752	bölüm	305	87.12	71.44
753	bölümü	304	87.01	71.38
754	kendisine	303	86.89	71.32
755	mehmet	302	86.77	71.27
756	ta	302	86.66	71.30
757	iii	302	86.55	71.34
758	verildi	301	86.43	71.29
759	paul	301	86.32	71.32
760	bas	301	86.20	71.36
761	ev	300	86.09	71.30
762	64	300	85.98	71.34
763	refbegin-columns	300	85.86	71.38
764	İslam	299	85.75	71.32
765	ahmet	299	85.64	71.36
766	verdiği	298	85.53	71.30
767	that	298	85.42	71.34
768	1987	297	85.31	71.28
769	77	296	85.19	71.22
770	white-space	296	85.08	71.26
771	nowrap	296	84.97	71.29
772	geçti	295	84.86	71.23
773	yayımlanan	294	84.75	71.17
774	dd	294	84.64	71.21
775	ölü	294	84.54	71.25
776	video	293	84.43	71.19
777	68	293	84.32	71.22
778	amerikan	292	84.21	71.16
779	pek	292	84.10	71.20
780	solid	292	83.99	71.24
781	km	292	83.89	71.27
782	gemi	292	83.78	71.31
783	afrika	291	83.67	71.25
784	nasıl	290	83.56	71.18
785	richard	290	83.46	71.22
786	bunu	289	83.35	71.16
787	attı	289	83.25	71.20
788	edilir	288	83.14	71.13
789	1982	288	83.04	71.17
790	galata	288	82.93	71.20
791	evrim	288	82.83	71.24
792	1914	288	82.72	71.28
793	avustralya	287	82.62	71.21
794	79	287	82.51	71.25
795	flex	287	82.41	71.29
796	filmi	287	82.31	71.32
797	grubu	286	82.20	71.26
798	border-bottom	286	82.10	71.29
799	mücadele	285	82.00	71.23
800	19.	285	81.89	71.27
801	erken	285	81.79	71.30
802	evolution	285	81.69	71.34
803	final	284	81.59	71.27
804	1983	284	81.49	71.31
805	bilimsel	283	81.38	71.24
806	takımı	282	81.28	71.18
807	73	282	81.18	71.21
808	gösteren	282	81.08	71.25
809	as	282	80.98	71.28
810	başına	281	80.88	71.22
811	1986	281	80.78	71.25
812	antik	280	80.68	71.18
813	ki	280	80.58	71.22
814	man	279	80.49	71.15
815	bunların	279	80.39	71.19
816	tespit	279	80.29	71.22
817	girdi	279	80.19	71.26
818	britanya	278	80.09	71.19
819	72	278	79.99	71.23
820	2007.	278	79.90	71.26
821	white	277	79.80	71.19
822	genetik	276	79.70	71.12
823	78	276	79.60	71.16
824	cm	276	79.51	71.19
825	yüzyılın	275	79.41	71.12
826	ederek	275	79.32	71.16
827	bütün	275	79.22	71.19
828	başarılı	275	79.12	71.23
829	time	275	79.03	71.26
830	bölge	275	78.93	71.30
831	adam	274	78.84	71.23
832	71	274	78.74	71.26
833	adına	273	78.65	71.19
834	klasik	273	78.55	71.23
835	giriş	273	78.46	71.26
836	1960	273	78.37	71.29
837	dark	273	78.27	71.33
838	değildir	271	78.18	71.15
839	us	271	78.09	71.19
840	yaygın	270	77.99	71.11
841	haber	270	77.90	71.15
842	2015.	270	77.81	71.18
843	bey	270	77.72	71.22
